"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "comment", "blank", "total"
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/App.tsx", "TypeScript JSX", -22, 0, 0, -5, -1, -28
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpenseItem.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 7
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageExpense/ExpenseForm.tsx", "TypeScript JSX", -42, 0, 0, -9, 0, -51
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ProfileOutput/TripHistoryItem.js", "JavaScript", 0, 0, -260, -6, -16, -282
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ProfileOutput/TripHistoryItem.tsx", "TypeScript JSX", 261, 0, 0, 7, 17, 285
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/confApp.ts", "TypeScript", 0, -8, 0, -8, -2, -18
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/confAppConstants.ts", "TypeScript", 0, 9, 0, 9, 2, 20
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/CategoryPickScreen.tsx", "TypeScript JSX", -28, 0, 0, 30, 0, 2
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/JoinTrip.tsx", "TypeScript JSX", 5, 0, 0, 0, -1, 4
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/ManageCategoryScreen.tsx", "TypeScript JSX", 36, 0, 0, 3, -3, 36
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/ManageExpense.tsx", "TypeScript JSX", -3, 0, 0, 0, -1, -4
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/expenses-context.tsx", "TypeScript JSX", 2, 0, 0, 1, 0, 3
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/settings-context.tsx", "TypeScript JSX", 5, 0, 0, 1, 1, 7
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/user-context.tsx", "TypeScript JSX", 47, 0, 0, 1, 3, 51
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/category.ts", "TypeScript", 0, -9, 0, 0, 0, -9
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/date.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/http.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 1
"Total", "-", 269, -6, -260, 24, -1, 26